coingecko_id,token_name,symbol,contract_address,tier,category,chain,verified_contract,verify_note,tx_sampled,unique_senders,unique_receivers,unique_addresses,top10_sender_share,top10_receiver_share,note,peer_group,breadth_score,sender_conc_score,receiver_conc_score,verification_score,distribution_health_score
uniswap,Uniswap,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,A,DEX,ethereum,True,,5000,854,1077,1302,0.429,0.4324,,A_DEX,100.0,0.0,0.0,100,55.0
chainlink,Chainlink,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,A,Infrastructure & Middleware,ethereum,True,,5000,1385,1582,1994,0.2214,0.2182,,A_Infrastructure & Middleware,100.0,0.0,0.0,100,55.0
aave,Aave,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,A,Lending & Borrowing,ethereum,True,,5000,838,932,1129,0.3118,0.3332,,A_Lending & Borrowing,50.0,50.0,50.0,100,57.5
maker,Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,A,Lending & Borrowing,ethereum,True,,5000,1470,332,1554,0.3444,0.656,,A_Lending & Borrowing,100.0,0.0,0.0,100,55.0
lido-dao,Lido Dao,LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,A,Liquid staking,ethereum,True,,5000,744,904,1075,0.5074,0.5104,,A_Liquid staking,100.0,0.0,0.0,100,55.0
curve-dao-token,Curve DAO,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,B,DEX,ethereum,True,,5000,386,354,465,0.6908,0.5822,,B_DEX,100.0,50.0,50.0,100,77.5
havven,Synthetix,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,B,Derivatives,ethereum,True,,5000,556,726,838,0.4522,0.4614,,B_Derivatives,100.0,0.0,0.0,100,55.0
compound-governance-token,Compound,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,B,Lending & Borrowing,ethereum,True,,5000,1100,1177,1420,0.3216,0.3344,,B_Lending & Borrowing,100.0,0.0,0.0,100,55.0
balancer,Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3d,B,DEX,ethereum,True,,5000,216,257,302,0.86,0.7682,,B_DEX,50.0,0.0,0.0,100,35.0
1inch,1inch,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,B,DEX aggregator,ethereum,True,,5000,455,508,620,0.5738,0.5718,,B_DEX aggregator,100.0,0.0,0.0,100,55.0
ethereum-name-service,Ethereum Name Service,ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,B,Infrastructure & Middleware,ethereum,True,,5000,607,703,861,0.4578,0.4548,,B_Infrastructure & Middleware,100.0,0.0,0.0,100,55.0
rocket-pool,Rocket Pool,RPL,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,B,Liquid Staking,ethereum,True,,5000,473,621,671,0.451,0.4482,,B_Liquid Staking,100.0,0.0,0.0,100,55.0
sushi,Sushi,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,C,DEX,ethereum,True,,5000,605,653,755,0.649,0.6136,,C_DEX,100.0,0.0,0.0,100,55.0
yearn-finance,Yearn Finance,YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,C,Yield Strategies,ethereum,True,,5000,520,525,648,0.507,0.5316,,C_Yield Strategies,100.0,0.0,0.0,100,55.0
basic-attention-token,Basic Attention Token,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,C,Web3 Utility,ethereum,True,,5000,783,836,1002,0.3942,0.445,,C_Web3 Utility,100.0,0.0,0.0,100,55.0
pepe,Pepe,PEPE,0x6982508145454ce325ddbe47a25d4ec3d2311933,C,Meme,ethereum,True,,5000,1327,1705,2153,0.248,0.2314,,C_Meme,50.0,0.0,0.0,100,35.0
shiba-inu,Shiba Inu,SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,C,Meme,ethereum,True,,5000,1495,1914,2342,0.243,0.2244,,C_Meme,100.0,50.0,50.0,100,77.5
ftx-token,FTX Token,FTT,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,D,CEX,ethereum,True,,5000,447,462,584,0.5866,0.5956,,D_CEX,100.0,0.0,0.0,100,55.0
celsius-degree-token,Celsius Network,CEL,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,D,CEFi Lending Platforms,ethereum,True,,5000,239,297,333,0.7248,0.6776,,D_CEFi Lending Platforms,50.0,0.0,0.0,100,35.0
ethos,Voyager Token,VGX,0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d,D,CEFi Lending Platforms,ethereum,True,,5000,718,892,1049,0.5546,0.4236,,D_CEFi Lending Platforms,100.0,50.0,50.0,100,77.5
